Pathway,Superclass,Class,Popolazione
Terpenoids,Sesterterpenoids,Ophiobolane sesterterpenoids,30
Terpenoids,Sesquiterpenoids,Alliacane sesquiterpenoids,30
Amino acids and Peptides,β-lactams,Carbapenems,30
Terpenoids,Apocarotenoids,Miscellaneous apocarotenoids,30
Terpenoids,Sesterterpenoids,Monocarbocyclic sesterterpenoids,29
Terpenoids,Sesquiterpenoids,Longifolane sesquiterpenoids,29
Terpenoids,Pseudoalkaloids (transamidation),Piperidine alkaloids,29
Terpenoids,Diterpenoids,Erythroxylane diterpenoids,29
Terpenoids,Monoterpenoids,Irregular monoterpenoids,29
Terpenoids,Sesquiterpenoids,Capnellane sesquiterpenoids,29
Terpenoids,Lysine alkaloids,Steroidal alkaloids,28
Terpenoids,Sesquiterpenoids,Terpenoid alkaloids,28
Alkaloids,Sesquiterpenoids,Terpenoid alkaloids,28
Terpenoids,Sesquiterpenoids,Silphinane sesquiterpenoids,28
Shikimates and Phenylpropanoids,Lignans,Coumarinolignans,28
Amino acids and Peptides,Peptide alkaloids,Simple diketopiperazine alkaloids,28
Alkaloids,Lysine alkaloids,Steroidal alkaloids,28
Shikimates and Phenylpropanoids,Coumarins,Coumarinolignans,28
Alkaloids,Peptide alkaloids,Simple diketopiperazine alkaloids,28
Fatty acids,Fatty Acids and Conjugates,Hydroperoxy fatty acids,27
Polyketides,Cyclic polyketides,4-pyrone derivatives,27
Fatty acids,Fatty amides,Primary amides,27
Alkaloids,Tyrosine alkaloids,Indolizidine alkaloids,27
Alkaloids,Guanidine alkaloids,Tricyclic guanidine alkaloids,27
Terpenoids,Diterpenoids,Verrucosane diterpenoids,27
Alkaloids,Lysine alkaloids,Amarylidaceae alkaloids,27
Terpenoids,Triterpenoids,Glutinane triterpenoids,27
Terpenoids,Sesquiterpenoids,Zizaane sesquiterpenoids,26
Terpenoids,Sesquiterpenoids,Bergamotane sesquiterpenoids,26
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosapentaenoic acids,26
Terpenoids,Polyethers,Oxasqualenoids,26
Terpenoids,Diterpenoids,Cycloabietane diterpenoids,26
Alkaloids,Anthranilic acid alkaloids,Phenoxazine alkaloids,26
Fatty acids,Small peptides,Amino fatty acids,25
Terpenoids,Sesquiterpenoids,Pyridine alkaloids,25
Alkaloids,Tyrosine alkaloids,Protopine alkaloids,25
Alkaloids,Sesquiterpenoids,Agarofuran sesquiterpenoids,25
Alkaloids,Sesquiterpenoids,Pyridine alkaloids,25
Shikimates and Phenylpropanoids,Mycosporine derivatives,Mycosporine and Mycosporine-like amino acids,25
Amino acids and Peptides,Mycosporine derivatives,Mycosporine and Mycosporine-like amino acids,25
Amino acids and Peptides,Small peptides,Amino fatty acids,25
Amino acids and Peptides,Tetramate alkaloids,Pyrrocidine tetramate alkaloids,25
Alkaloids,Tetramate alkaloids,Pyrrocidine tetramate alkaloids,25
Terpenoids,Sesquiterpenoids,Cyclofarnesane sesquiterpenoids,25
Terpenoids,Sesquiterpenoids,Oppositane sesquiterpenoids,25
Terpenoids,Sesquiterpenoids,Brasilane sesquiterpenoids,25
Polyketides,Aromatic polyketides,Aromatic polyketides with side chains,25
Terpenoids,Sesterterpenoids,Cheilanthane sesterterpenoids,25
Terpenoids,Sesquiterpenoids,Spiroaxane sesquiterpenoids,25
Amino acids and Peptides,Fatty Acids and Conjugates,Amino fatty acids,25
Terpenoids,Diterpenoids,Purine alkaloids,24
Terpenoids,Sesquiterpenoids,Copaane sesquiterpenoids,24
Alkaloids,Diterpenoids,Purine alkaloids,24
Polyketides,Cyclic polyketides,Oblogolides,24
Terpenoids,Diterpenoids,Sphaerane diterpenoids,24
Terpenoids,Pseudoalkaloids (transamidation),Pyridine alkaloids,24
Alkaloids,Nicotinic acid alkaloids,Terpenoid alkaloids,24
Polyketides,Macrolides,Bafilomycins,24
Polyketides,Macrolides,Lactam bearing macrolide lactones,24
Terpenoids,Nicotinic acid alkaloids,Terpenoid alkaloids,24
Alkaloids,Pseudoalkaloids (transamidation),Pyridine alkaloids,24
Polyketides,Meroterpenoids,Other polyketide meroterpenoids,24
Terpenoids,Meroterpenoids,Other polyketide meroterpenoids,24
Alkaloids,Guanidine alkaloids,Tetrodotoxins,24
Fatty acids,Fatty esters,Cyano esters,24
Amino acids and Peptides,Tetramate alkaloids,Cyclopiazonic acid-tpye tetramate alkaloids,24
Alkaloids,Tetramate alkaloids,Cyclopiazonic acid-tpye tetramate alkaloids,24
Amino acids and Peptides,Macrolides,Lactam bearing macrolide lactones,24
Terpenoids,Pseudoalkaloids (transamidation),Purine alkaloids,24
Terpenoids,Sesquiterpenoids,Asteriscane sesquiterpenoids,24
Terpenoids,Nicotinic acid alkaloids,Agarofuran sesquiterpenoids,23
Polyketides,Aromatic polyketides,Strobilurins and derivatives,23
Terpenoids,Meroterpenoids,Meroterpenoids with bridged ring,23
Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acid amides,23
Amino acids and Peptides,Phenylpropanoids (C6-C3),Cinnamic acid amides,23
Alkaloids,Nicotinic acid alkaloids,Agarofuran sesquiterpenoids,23
Polyketides,Cyclic polyketides,Maleidrides,22
Terpenoids,Diterpenoids,Abeotaxane diterpenoids,22
Polyketides,Coumarins,Simple coumarins,22
Fatty acids,Monoterpenoids,Acyclic monoterpenoids,22
Polyketides,Polyethers,Macrotetrolides,22
Amino acids and Peptides,Cyclic polyketides,3-Spirotetramic acids,22
Polyketides,Cyclic polyketides,3-Spirotetramic acids,22
Terpenoids,Diterpenoids,Jatropholane diterpenoids,21
Terpenoids,Diterpenoids,Valparane diterpenoids,21
Terpenoids,Sesquiterpenoids,Sativane sesquiterpenoids,21
Terpenoids,Triterpenoids,Shionane triterpenoids,21
Terpenoids,Pseudoalkaloids (transamidation),Agarofuran sesquiterpenoids,21
Terpenoids,Sesquiterpenoids,Silphiperfolane sesquiterpenoids,21
Terpenoids,Diterpenoids,Asbestinane diterpenoids,21
Terpenoids,Sesquiterpenoids,Secoeudesmane sesquiterpenoids,21
Terpenoids,Sesquiterpenoids,Thujopsane sesquiterpenoids,21
Terpenoids,Triterpenoids,Bauerane triterpenoids,21
Alkaloids,Pseudoalkaloids (transamidation),Agarofuran sesquiterpenoids,21
Terpenoids,Sesquiterpenoids,Isolactarane sesquiterpenoids,21
Terpenoids,Sesquiterpenoids,Botryane sesquiterpenoids,20
Terpenoids,Diterpenoids,Sphenolobane diterpenoids,20
Amino acids and Peptides,Peptide alkaloids,Dipeptides,20
Terpenoids,Diterpenoids,Parguerane diterpenoids,20
Alkaloids,Peptide alkaloids,Dipeptides,20
Alkaloids,Small peptides,Dipeptides,20
Shikimates and Phenylpropanoids,Flavonoids,Flavans,20
Amino acids and Peptides,Linear polyketides,Melithiazole and Myxothiazole derivatives,20
Terpenoids,Monoterpenoids,Fenchane monoterpenoids,20
Terpenoids,Sesquiterpenoids,Noreremophilane sesquiterpenoids,20
Alkaloids,Ornithine alkaloids,Pyridine alkaloids,20
Alkaloids,Nicotinic acid alkaloids,Pyrrolidine alkaloids,20
Terpenoids,Triterpenoids,Saponaceolide triterpenoids,20
Terpenoids,Sesquiterpenoids,Clovane sesquiterpenoids,20
Alkaloids,Tryptophan alkaloids,Simple oxindole alkaloids,20
Polyketides,Linear polyketides,Melithiazole and Myxothiazole derivatives,20
Alkaloids,Tyrosine alkaloids,Betalain alkaloids,19
Alkaloids,Diterpenoids,Colensane and Clerodane diterpenoids,19
Terpenoids,Diterpenoids,Furanoabietane diterpenoids,19
Fatty acids,Fatty esters,Wax diesters,19
Terpenoids,Sesquiterpenoids,Marasmane sesquiterpenoids,19
Terpenoids,Diterpenoids,Casbane diterpenoids,19
Alkaloids,Pseudoalkaloids (transamidation),Colensane and Clerodane diterpenoids,19
Terpenoids,Triterpenoids,Onocerane triterpenoids,19
Terpenoids,Pseudoalkaloids (transamidation),Colensane and Clerodane diterpenoids,19
Terpenoids,Sesquiterpenoids,Herbertane sesquiterpenoids,19
Terpenoids,Sesquiterpenoids,Bourbonane sesquiterpenoids,19
Polyketides,Macrolides,Bryostatins,18
Terpenoids,Triterpenoids,Baccharane triterpenoids,18
Terpenoids,Sesquiterpenoids,Valerenane sesquiterpenoids,18
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Shikimic acids and derivatives,18
Alkaloids,Tryptophan alkaloids,Hapalindole alkaloids,18
Terpenoids,Sesquiterpenoids,Presilphiperfolane and Probotryane sesquiterpenoids,18
Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamoyl phenols,18
Terpenoids,Diterpenoids,Cycloamphilectane diterpenoids,18
Terpenoids,Triterpenoids,Gammacerane triterpenoids,18
Polyketides,Macrolides,Oligomycins,18
Fatty acids,Fatty Acids and Conjugates,Other Octadecanoids,18
Alkaloids,Pseudoalkaloids (transamidation),Capsaicins and Capsaicinoids,17
Terpenoids,Steroids,Steroidal alkaloids,17
Terpenoids,Peptide alkaloids,Pyrazine and Piperazine alkaloids,17
Alkaloids,Guanidine alkaloids,Bicyclic guanidine alkaloids,17
Alkaloids,Steroids,Steroidal alkaloids,17
Polyketides,Macrolides,Oxa-Bridged Macrolides,17
Terpenoids,Diterpenoids,Rhamnofolane diterpenoids,17
Terpenoids,Pseudoalkaloids (transamidation),Pyrazine and Piperazine alkaloids,17
Amino acids and Peptides,Peptide alkaloids,Steroidal alkaloids,17
Amino acids and Peptides,Pseudoalkaloids (transamidation),Pyrazine and Piperazine alkaloids,17
Terpenoids,Sesquiterpenoids,Isodaucane sesquiterpenoids,17
Amino acids and Peptides,Pseudoalkaloids (transamidation),Steroidal alkaloids,17
Terpenoids,Peptide alkaloids,Steroidal alkaloids,17
Alkaloids,Peptide alkaloids,Steroidal alkaloids,17
Fatty acids,Eicosanoids,Hydroxy-hydroperoxyeicosatrienoic acids,17
Alkaloids,Pseudoalkaloids (transamidation),Pyrazine and Piperazine alkaloids,17
Terpenoids,Sesquiterpenoids,Humbertiane sesquiterpenoids,16
Carbohydrates,Saccharides,Paulomycins and derivatives,16
Fatty acids,Eicosanoids,Other Eicosanoids,16
Fatty acids,Docosanoids,Neurofurans,16
Terpenoids,Triterpenoids,Filicane triterpenoids,16
Terpenoids,Fatty esters,Wax monoesters,16
Amino acids and Peptides,Oligopeptides,Microcolins and mirabimids,16
Terpenoids,Sesquiterpenoids,Gorgonane sesquiterpenoids,16
Fatty acids,Fatty acyl glycosides,Rhamnolipids,16
Amino acids and Peptides,Linear polyketides,Open-chain polyketides,16
Terpenoids,Sesquiterpenoids,Campherenane sesquiterpenoids,16
Terpenoids,Sesquiterpenoids,Thapsane sesquiterpenoids,16
Terpenoids,Apocarotenoids,Apocarotenoids (Ψ-),16
Terpenoids,Sesquiterpenoids,Cubebane sesquiterpenoids,16
Shikimates and Phenylpropanoids,Stilbenoids,Stilbenolignans,15
Terpenoids,Sesquiterpenoids,Isocomane sesquiterpenoids,15
Shikimates and Phenylpropanoids,Lignans,Stilbenolignans,15
Alkaloids,Small peptides,Simple diketopiperazine alkaloids,15
Terpenoids,Meroterpenoids,Meroterpenoids with 5- or 6-membered ring,15
Terpenoids,Sesquiterpenoids,Iphionane sesquiterpenoids,15
Terpenoids,Polyprenols,Bactoprenols,15
Terpenoids,Diterpenoids,Prenylbisabolane diterpenoids,15
Shikimates and Phenylpropanoids,Tropolones,Tropolones and derivatives (Shikimate),15
Terpenoids,Meroterpenoids,Drimane sesquiterpenoids,15
Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids,15
Terpenoids,Sesquiterpenoids,Sterpurane sesquiterpenoids,15
Amino acids and Peptides,Small peptides,Simple diketopiperazine alkaloids,15
Terpenoids,Sesquiterpenoids,Secogermacrane sesquiterpenoids,15
Terpenoids,Sesquiterpenoids,Carabrane sesquiterpenoids,15
Terpenoids,Triterpenoids,Polypodane triterpenoids,14
Terpenoids,Sesquiterpenoids,Valerane sesquiterpenoids,14
Polyketides,Oligopeptides,Streptogramins,14
Amino acids and Peptides,Oligopeptides,Streptogramins,14
Terpenoids,Diterpenoids,Dactylomelane diterpenoids,14
Terpenoids,Sesquiterpenoids,Cyclolaurane sesquiterpenoids,14
Terpenoids,Sesquiterpenoids,Pentalenane sesquiterpenoids,14
Terpenoids,Sesterterpenoids,Cericerane sesterterpenoids,14
Terpenoids,Triterpenoids,Stictane triterpenoids,14
Terpenoids,Diterpenoids,Segetane diterpenoids,14
Carbohydrates,Nucleosides,Streptothricins and derivatives,14
Fatty acids,Octadecanoids,Phytoprostanes,14
Terpenoids,Triterpenoids,Abeolupane triterpenoids,14
Shikimates and Phenylpropanoids,Stilbenoids,Flavonostilbenes,14
Terpenoids,Polyprenols,Dolichols,14
Shikimates and Phenylpropanoids,Flavonoids,Flavonostilbenes,14
Alkaloids,Pseudoalkaloids (transamidation),Acetate-derived alkaloids,14
Terpenoids,Carotenoids (C50),"Carotenoids (C50, Ψ-Ψ)",14
Fatty acids,Fatty Acids and Conjugates,Nitro fatty acids,14
Amino acids and Peptides,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",13
Terpenoids,Fatty esters,Acyclic monoterpenoids,13
Terpenoids,Diterpenoids,Villanovane diterpenoids,13
Amino acids and Peptides,Linear polyketides,DKXanthenes and derivatives,13
Polyketides,Linear polyketides,DKXanthenes and derivatives,13
Fatty acids,Fatty esters,Acyclic monoterpenoids,13
Polyketides,Cyclic polyketides,Decalins with 2-pyrones,13
Terpenoids,Monoterpenoids,Wax monoesters,13
Fatty acids,Monoterpenoids,Wax monoesters,13
Fatty acids,Spingolipids,Acidic glycosphingolipids,13
Terpenoids,Meroterpenoids,Breviane diterpenoids,13
Terpenoids,Diterpenoids,Cyclopiane diterpenoids,13
Terpenoids,Carotenoids (C40),"Carotenoids (C40, ε-Ψ)",13
Terpenoids,Sesquiterpenoids,Quadrane sesquiterpenoids,13
Terpenoids,Diterpenoids,Spriromeroterpenoids,13
Terpenoids,Diterpenoids,Breviane diterpenoids,13
Amino acids and Peptides,β-lactams,Clavams,13
Alkaloids,Peptide alkaloids,"Indole diketopiperazine alkaloids (L-Trp, L-Trp)",13
Terpenoids,Diterpenoids,Premyrsinane diterpenoids,12
Polyketides,Nicotinic acid alkaloids,Pyridine alkaloids,12
Terpenoids,Triterpenoids,Pachysanane triterpenoids,12
Shikimates and Phenylpropanoids,Polycyclic aromatic polyketides,Anthraquinones and anthrones,12
Terpenoids,Sesquiterpenoids,Rotundane sesquiterpenoids,12
Terpenoids,Triterpenoids,Adianane triterpenoids,12
Alkaloids,Tyrosine alkaloids,Acutumine alkaloids,12
Fatty acids,Sesquiterpenoids,Farnesane sesquiterpenoids,12
Carbohydrates,Saccharides,Avilamycins and derivatives,12
Terpenoids,Naphthalenes,Naphthoquinones,12
Shikimates and Phenylpropanoids,Flavonoids,Isoaurones,12
Terpenoids,Sesquiterpenoids,Cyclobisabolane sesquiterpenoids,12
Alkaloids,Diterpenoids,Terpenoid alkaloids,12
Terpenoids,Diterpenoids,Terpenoid alkaloids,12
Terpenoids,Sesquiterpenoids,Caryolane sesquiterpenoids,12
Polyketides,Chromanes,Cytosporins,12
Terpenoids,Diterpenoids,Norcembrane diterpenoids,12
Polyketides,Aromatic polyketides,Luminacins and derivatives,12
Polyketides,Oligopeptides,Linear peptides,12
Alkaloids,Pseudoalkaloids (transamidation),Pregnane steroids,11
Terpenoids,Lignans,Neolignans,11
Fatty acids,Eicosanoids,Thromboxanes,11
Fatty acids,Eicosanoids,Hepoxilins,11
Terpenoids,Triterpenoids,Neohopane triterpenoids,11
Fatty acids,Octadecanoids,Jasmonic acids,11
Shikimates and Phenylpropanoids,Flavonoids,Linear diarylheptanoids,11
Terpenoids,Sesquiterpenoids,Hamigerane sesquiterpenoids,11
Shikimates and Phenylpropanoids,Terphenyls,m-Terphenyls,11
Polyketides,Sesquiterpenoids,Tetraketide meroterpenoids,11
Terpenoids,Sesquiterpenoids,Tetraketide meroterpenoids,11
Alkaloids,Steroids,Pregnane steroids,11
Shikimates and Phenylpropanoids,Lignans,Flavones,11
Polyketides,Flavonoids,Chalcones,11
Terpenoids,Pseudoalkaloids (transamidation),Pregnane steroids,11
Polyketides,Naphthalenes,Methyl xanthones,10
Alkaloids,Pseudoalkaloids (transamidation),Isariotin alkaloids,10
Polyketides,Xanthones,Aflatoxins,10
Terpenoids,Sesquiterpenoids,Ishwarane sesquiterpenoids,10
Polyketides,Meroterpenoids,Drimane sesquiterpenoids,10
Polyketides,Sesquiterpenoids,Drimane sesquiterpenoids,10
Terpenoids,Sesquiterpenoids,Cyclonerane sesquiterpenoids,10
Amino acids and Peptides,Linear polyketides,Aminoacids,10
Polyketides,Xanthones,Naphthoquinones,10
Shikimates and Phenylpropanoids,Phloroglucinols,Dimeric phloroglucinols,10
Shikimates and Phenylpropanoids,Flavonoids,Dimeric phloroglucinols,10
Polyketides,Flavonoids,Dimeric phloroglucinols,10
Alkaloids,Nicotinic acid alkaloids,Piperidine alkaloids,10
Polyketides,Chromanes,Simple coumarins,10
Alkaloids,Tyrosine alkaloids,Oxazole alkaloids,10
Terpenoids,Diterpenoids,Pepluane diterpenoids,10
Amino acids and Peptides,Macrolides,Ansa macrolides,10
Polyketides,Chromanes,Methyl xanthones,10
Terpenoids,Sesquiterpenoids,Sinularane sesquiterpenoids,10
Shikimates and Phenylpropanoids,Chromanes,Simple coumarins,10
Terpenoids,Sesquiterpenoids,Chiloscyphane sesquiterpenoids,10
Terpenoids,Sesquiterpenoids,Allohimachalane sesquiterpenoids,10
Amino acids and Peptides,Small peptides,Open-chain polyketides,10
Terpenoids,Sesquiterpenoids,Spriromeroterpenoids,10
Polyketides,Small peptides,Open-chain polyketides,10
Polyketides,Small peptides,Aminoacids,10
Amino acids and Peptides,Linear polyketides,Elfamycins,10
Polyketides,Linear polyketides,Elfamycins,10
Terpenoids,Diterpenoids,Viscidane diterpenoids,10
Polyketides,Linear polyketides,Aminoacids,10
Shikimates and Phenylpropanoids,Flavonoids,Gallotannins,9
Alkaloids,Oligopeptides,Cyclic peptides,9
Terpenoids,Sesterterpenoids,Mangicol-type sesterterpenoids,9
Fatty acids,Eicosanoids,Levuglandins,9
Shikimates and Phenylpropanoids,Flavonoids,Open-chained neoflavonoids,9
Polyketides,Coumarins,Aflatoxins,9
Terpenoids,Pseudoalkaloids (transamidation),Kaurane and Phyllocladane diterpenoids,9
Shikimates and Phenylpropanoids,Coumarins,Aflatoxins,9
Terpenoids,Diterpenoids,Paraliane diterpenoids,9
Fatty acids,Octadecanoids,Hydroxy fatty acids,9
Shikimates and Phenylpropanoids,Flavonoids,Simple coumarins,9
Terpenoids,Fatty acyls,Fatty alcohols,9
Fatty acids,Octadecanoids,12-oxophytodienoic acid metabolites,9
Amino acids and Peptides,β-lactams,Cephamycins,9
Terpenoids,Diterpenoids,Prenyleudesmane diterpenoids,9
Polyketides,Polycyclic aromatic polyketides,Benastatins and derivatives,9
Polyketides,Phloroglucinols,Anthraquinones and anthrones,9
Shikimates and Phenylpropanoids,Chromanes,Aflatoxins,9
Fatty acids,Eicosanoids,Resolvin Es,9
Alkaloids,Pseudoalkaloids (transamidation),Kaurane and Phyllocladane diterpenoids,9
Terpenoids,Diterpenoids,Devadarane diterpenoids,9
Terpenoids,Sesquiterpenoids,Pacifigorgiane sesquiterpenoids,9
Alkaloids,Diterpenoids,Kaurane and Phyllocladane diterpenoids,9
Terpenoids,Sesquiterpenoids,Perforane sesquiterpenoids,9
Terpenoids,Fatty acyls,Acyclic monoterpenoids,8
Fatty acids,Docosanoids,Resolvin Ds,8
Amino acids and Peptides,Macrolides,Rhizoxins,8
Polyketides,Macrolides,Rhizoxins,8
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Flavan-3-ols,8
Shikimates and Phenylpropanoids,Polycyclic aromatic polyketides,Simple coumarins,8
Terpenoids,Sesquiterpenoids,Dunniane sesquiterpenoids,8
Alkaloids,Tryptophan alkaloids,Pyrazine and Piperazine alkaloids,8
Shikimates and Phenylpropanoids,Isoflavonoids,Chalcones,8
Shikimates and Phenylpropanoids,Diarylheptanoids,Flavonolignans,8
Shikimates and Phenylpropanoids,Lignans,Linear diarylheptanoids,8
Terpenoids,Sesquiterpenoids,Bicyclohumulane sesquiterpenoids,8
Amino acids and Peptides,Tryptophan alkaloids,Pyrazine and Piperazine alkaloids,8
Fatty acids,Fatty acyls,Acyclic monoterpenoids,8
Terpenoids,Carotenoids (C40),"Carotenoids (C40, π-Ψ)",8
Alkaloids,Guanidine alkaloids,Saxitoxins,8
Fatty acids,Octadecanoids,Unsaturated fatty acids,8
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-Χ)",8
Alkaloids,Sesquiterpenoids,Picrotoxane sesquiterpenoids,8
Polyketides,Polycyclic aromatic polyketides,Simple coumarins,8
Fatty acids,Eicosanoids,Isofurans,8
Fatty acids,Eicosanoids,Epoxyeicosatrienoic acids,8
Shikimates and Phenylpropanoids,Coumarins,Anthraquinones and anthrones,8
Amino acids and Peptides,γ-lactam-β-lactones,Salinosporamides,8
Polyketides,Coumarins,Anthraquinones and anthrones,8
Terpenoids,Fatty acyls,Farnesane sesquiterpenoids,7
Terpenoids,Sesquiterpenoids,Homofarnesane sesquiterpenoids,7
Shikimates and Phenylpropanoids,Flavonoids,2-arylbenzofurans,7
Shikimates and Phenylpropanoids,Chromanes,Chromones,7
Shikimates and Phenylpropanoids,Lignans,Chalcones,7
Alkaloids,Tryptophan alkaloids,Imidazole alkaloids,7
Polyketides,Pseudoalkaloids (transamidation),Isoindole alkaloids,7
Alkaloids,Tyrosine alkaloids,Pyridine alkaloids,7
Polyketides,Polycyclic aromatic polyketides,Naphthoquinones,7
Fatty acids,Eicosanoids,Lipoxins,7
Amino acids and Peptides,Tryptophan alkaloids,Simple indole alkaloids,7
Terpenoids,Apocarotenoids,Cyclophytane diterpenoids,7
Terpenoids,Sesquiterpenoids,Ivaxillarane sesquiterpenoids,7
Amino acids and Peptides,Peptide alkaloids,Simple indole alkaloids,7
Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Bagremycins,7
Fatty acids,Linear polyketides,Open-chain polyketides,7
Alkaloids,Peptide alkaloids,Simple indole alkaloids,7
Alkaloids,Guanidine alkaloids,Acyclic guanidine alkaloids,7
Amino acids and Peptides,Oligopeptides,Tantazoles and mirabazoles,7
Polyketides,Coumarins,Isocoumarins,7
Polyketides,Linear polyketides,Linear tetronates,7
Terpenoids,Sesquiterpenoids,Secochamigrane sesquiterpenoids,7
Terpenoids,Triterpenoids,Ergostane steroids,7
Polyketides,Polycyclic aromatic polyketides,Acyl phloroglucinols,7
Terpenoids,Sesquiterpenoids,Neolignans,7
Terpenoids,Steroids,Cycloartane triterpenoids,7
Polyketides,Polycyclic aromatic polyketides,Pradimicins,7
Shikimates and Phenylpropanoids,Sesquiterpenoids,Neolignans,7
Shikimates and Phenylpropanoids,Lignans,Simple coumarins,7
Terpenoids,Carotenoids (C50),"Carotenoids (C50, ε-ε)",7
Fatty acids,Glycerophospholipids,Glycerophosphoinositol phosphates,7
Terpenoids,Sesterterpenoids,Asperane sesterterpenoids,7
Fatty acids,Glycerolipids,Glycosylmonoacylglycerols,7
Terpenoids,Fatty acyls,Hydrocarbons,7
Terpenoids,Pseudoalkaloids (transamidation),Picrotoxane sesquiterpenoids,7
Alkaloids,Pseudoalkaloids (transamidation),Picrotoxane sesquiterpenoids,7
Terpenoids,Carotenoids (C40),"Carotenoids (C40, ε-ε)",7
Fatty acids,Fatty acyls,Farnesane sesquiterpenoids,7
Terpenoids,Sesquiterpenoids,Cyclogermacrane sesquiterpenoids,6
Polyketides,Linear polyketides,Sphingoid bases,6
Alkaloids,Tyrosine alkaloids,Pimprinine alkaloids,6
Terpenoids,Pseudoalkaloids (transamidation),Isoindole alkaloids,6
Fatty acids,Fatty Acids and Conjugates,Other Docosanoids,6
Fatty acids,Docosanoids,Unsaturated fatty acids,6
Polyketides,Oligopeptides,Cyclamides,6
Polyketides,Spingolipids,Open-chain polyketides,6
Polyketides,Spingolipids,Sphingoid bases,6
Shikimates and Phenylpropanoids,Lignans,Flavanones,6
Terpenoids,Sesterterpenoids,Betaestacin-type sesterterpenoids,6
Terpenoids,Monoterpenoids,Pyridine alkaloids,6
Terpenoids,Sesquiterpenoids,Copacamphane sesquiterpenoids,6
Carbohydrates,Aminosugars and aminoglycosides,Anthracyclines,6
Polyketides,Fatty acyls,Acetogenins,6
Terpenoids,Monoterpenoids,Fatty alcohols,6
Terpenoids,Sesquiterpenoids,Phloroglucinol-terpene hybrids,6
Terpenoids,Sesquiterpenoids,Simple coumarins,6
Terpenoids,Coumarins,Simple coumarins,6
Shikimates and Phenylpropanoids,Sesquiterpenoids,Simple coumarins,6
Polyketides,Linear polyketides,Polyesters,6
Terpenoids,Sesquiterpenoids,Longibornane sesquiterpenoids,6
Polyketides,Sesquiterpenoids,Phloroglucinol-terpene hybrids,6
Alkaloids,Monoterpenoids,Pyridine alkaloids,6
Polyketides,Aminosugars and aminoglycosides,Aminoglycosides,6
Polyketides,Aminosugars and aminoglycosides,Anthracyclines,6
Amino acids and Peptides,Histidine alkaloids,Imidazole alkaloids,6
Fatty acids,Saccharides,Monosaccharides,6
Carbohydrates,Polycyclic aromatic polyketides,Anthracyclines,6
Carbohydrates,Polycyclic aromatic polyketides,Aminoglycosides,6
Polyketides,Polycyclic aromatic polyketides,Aminoglycosides,6
Alkaloids,Monoterpenoids,Iridoids monoterpenoids,6
Shikimates and Phenylpropanoids,Flavonoids,Kavalactones and derivatives,6
Shikimates and Phenylpropanoids,Styrylpyrones,Flavanones,6
Fatty acids,Spingolipids,Open-chain polyketides,6
Terpenoids,Carotenoids (C40),"Carotenoids (C40, π-π)",6
Terpenoids,Carotenoids (C40),"Carotenoids (C40, β-π)",6
Fatty acids,Monoterpenoids,Fatty alcohols,6
Fatty acids,Linear polyketides,Sphingoid bases,6
Terpenoids,Diterpenoids,Sphaeroane diterpenoids,6
Polyketides,Linear polyketides,Polyether ionophores,6
Fatty acids,Linear polyketides,Acetogenins,6
Fatty acids,Fatty acyls,Acetogenins,6
Polyketides,Diterpenoids,Naphthoquinones,5
Polyketides,Sesquiterpenoids,Naphthoquinones,5
Polyketides,Diterpenoids,Norlabdane diterpenoids,5
Polyketides,Diterpenoids,Triketide meroterpenoids,5
Polyketides,Meroterpenoids,Norlabdane diterpenoids,5
Terpenoids,Diterpenoids,Triketide meroterpenoids,5
Fatty acids,Sesquiterpenoids,Hydrocarbons,5
Terpenoids,Sesquiterpenoids,Hydrocarbons,5
Shikimates and Phenylpropanoids,Stilbenoids,Flavanones,5
Fatty acids,Linear polyketides,Fatty alcohols,5
Terpenoids,Sesquiterpenoids,Naphthoquinones,5
Terpenoids,Carotenoids (C45),"Carotenoids (C45, ε-Ψ)",5
Terpenoids,Diterpenoids,Naphthoquinones,5
Terpenoids,Meroterpenoids,Norlabdane diterpenoids,5
Fatty acids,Glycerophospholipids,Glycosylglycerophospholipids,5
Alkaloids,Monoterpenoids,Secoiridoid monoterpenoids,5
Carbohydrates,Saccharides,Resin glycosides,5
Shikimates and Phenylpropanoids,Isoflavonoids,Flavanones,5
Shikimates and Phenylpropanoids,Sesquiterpenoids,Bisabolane sesquiterpenoids,5
Fatty acids,Small peptides,Oxo fatty acids,5
Terpenoids,Diterpenoids,Gersemiane diterpenoids,5
Alkaloids,Guanidine alkaloids,Polyamines,5
Alkaloids,Ornithine alkaloids,Pentacyclic guanidine alkaloids,5
Polyketides,Fatty acyls,Fatty alcohols,5
Polyketides,Linear polyketides,Fatty alcohols,5
Fatty acids,Fatty acyls,Fatty nitriles,5
Terpenoids,Diterpenoids,Apocarotenoids (β-),5
